CABra dataset - Climate attributes
 
clim_p, clim_tmin, clim_tmax, clim_rh, clim_wind, and clim_srad are the long-term mean precipiation, minimum and maximum temperature, relative humidity, wind speed, and solar radiation in the catchment.
clim_et and clim_pet are the long-term mean actual and potential evapotranspiration in the catchment. clim_pet was calculated with Priestley & Taylor method.
aridity_index and p_seasonality are the aridity index and seasonality of precipitation in the catchment.
clim_quality is the quality of climate data based on data source: 1 = REF climatology; 2 = ENS climatology.
 
  CABra ID	     ANA ID	  clim_p	 clim_tmin	 clim_tmax	  clim_rh	 clim_wind	  clim_srad	  clim_et	 clim_pet	 aridity_index	   p_seasonality	 clim_quality
          	           	      mm	        °C	        °C	        %	     m s¯¹	     MJ m¯²	 mm day¯¹	 mm day¯¹	              	                	             
       346	   58658000	    3.47	     16.30	     26.96	    78.84	      1.20	      16.20	     2.57	     4.78	          1.38	            0.92	            1
       347	   58670002	    3.40	     16.89	     27.60	    78.13	      1.16	      16.42	     2.50	     4.85	          1.42	            0.92	            1
       348	   58710000	    4.21	     15.48	     26.46	    78.91	      1.26	      16.06	     2.65	     4.75	          1.13	            0.97	            1
       349	   58720000	    4.26	     15.70	     26.70	    79.09	      1.28	      16.01	     2.69	     4.75	          1.11	            0.97	            1
       350	   58730001	    4.14	     15.70	     26.69	    79.00	      1.24	      16.07	     2.65	     4.76	          1.15	            0.97	            1
       351	   58735000	    4.13	     15.79	     26.80	    79.04	      1.25	      16.06	     2.63	     4.75	          1.15	            0.97	            1
       352	   58755000	    4.23	     14.88	     25.71	    78.90	      1.33	      15.98	     2.79	     4.74	          1.12	            0.97	            1
       353	   58765001	    4.10	     15.45	     26.29	    79.02	      1.31	      16.01	     2.74	     4.73	          1.15	            0.96	            1
       354	   58770000	    4.09	     15.77	     26.70	    78.95	      1.25	      16.08	     2.64	     4.75	          1.16	            0.96	            1
       355	   58795000	    4.06	     15.54	     26.36	    78.24	      1.21	      16.00	     2.75	     4.70	          1.16	            0.89	            1
       356	   58825000	    6.10	     16.68	     26.99	    78.90	      1.23	      16.11	     3.24	     4.88	          0.80	            0.81	            1
       357	   58827000	    6.10	     16.68	     26.99	    78.90	      1.23	      16.11	     3.24	     4.88	          0.80	            0.80	            1
       358	   58850000	    5.08	     16.61	     27.11	    78.84	      1.25	      16.20	     2.95	     4.86	          0.96	            0.80	            1
       359	   58870000	    3.65	     17.19	     27.81	    77.87	      1.23	      16.50	     2.57	     4.87	          1.34	            0.87	            1
       360	   58874000	    4.60	     16.80	     27.34	    78.52	      1.24	      16.30	     2.82	     4.86	          1.06	            0.85	            1
       361	   58910000	    4.05	     16.59	     27.50	    77.84	      1.05	      16.57	     2.59	     4.91	          1.21	            0.93	            1
       362	   58916000	    3.71	     16.38	     27.53	    77.62	      1.00	      16.79	     2.67	     5.02	          1.35	            0.93	            1
       363	   58917000	    3.79	     16.61	     27.69	    77.60	      1.01	      16.75	     2.64	     5.00	          1.32	            0.90	            1
       364	   58920000	    3.89	     16.79	     27.76	    77.66	      1.03	      16.68	     2.60	     4.96	          1.28	            0.92	            1
       365	   58930000	    3.79	     16.54	     27.82	    77.06	      1.06	      16.95	     2.56	     5.06	          1.34	            0.94	            1
       366	   58940000	    3.84	     17.25	     28.19	    77.35	      1.05	      16.78	     2.56	     5.01	          1.31	            0.91	            1
       367	   58960000	    3.71	     17.59	     28.43	    77.31	      1.08	      16.79	     2.55	     5.02	          1.35	            0.90	            1
       368	   58974000	    3.99	     16.00	     26.77	    78.10	      1.20	      16.14	     2.72	     4.76	          1.19	            0.89	            1
       369	   59120000	    5.89	     16.80	     27.12	    78.97	      1.28	      16.18	     3.11	     4.88	          0.83	            0.76	            1
       370	   59125000	    5.67	     16.92	     27.26	    79.03	      1.34	      16.24	     2.98	     4.89	          0.86	            0.76	            1
       371	   59135000	    5.67	     16.92	     27.26	    79.03	      1.34	      16.24	     2.98	     4.89	          0.86	            0.76	            1
       372	   59240000	    6.10	     16.68	     26.99	    78.90	      1.23	      16.11	     3.24	     4.88	          0.80	            0.77	            1
       373	   59355000	    4.76	     15.78	     26.91	    77.88	      1.14	      16.01	     3.07	     4.74	          1.00	            0.85	            1
       374	   59370000	    5.06	     15.61	     26.73	    77.96	      1.15	      15.96	     3.37	     4.75	          0.94	            0.80	            1
       375	   59380000	    4.67	     14.72	     25.84	    77.94	      1.15	      15.86	     3.39	     4.70	          1.01	            0.69	            1
       376	   60010000	    4.09	     16.63	     28.16	    70.88	      1.37	      18.34	     2.50	     5.45	          1.33	            0.99	            1
       377	   60011000	    4.08	     16.63	     28.21	    70.89	      1.35	      18.33	     2.48	     5.45	          1.34	            0.99	            1
       378	   60040000	    3.93	     17.50	     29.20	    68.32	      1.30	      18.30	     2.47	     5.50	          1.40	            0.96	            1
       379	   60100000	    4.09	     16.68	     28.09	    70.53	      1.44	      18.41	     2.61	     5.50	          1.35	            0.98	            1
       380	   60110000	    4.06	     17.07	     28.41	    70.07	      1.35	      18.41	     2.48	     5.48	          1.35	            0.98	            1
       381	   60130000	    4.02	     16.96	     28.25	    70.30	      1.39	      18.46	     2.46	     5.50	          1.37	            0.98	            1
       382	   60145000	    4.02	     16.96	     28.25	    70.30	      1.39	      18.46	     2.46	     5.50	          1.37	            0.98	            1
       383	   60150000	    4.06	     17.21	     28.51	    69.98	      1.37	      18.43	     2.55	     5.52	          1.36	            0.98	            1
       384	   60220000	    4.50	     16.54	     27.31	    71.22	      1.33	      18.11	     2.69	     5.41	          1.20	            0.99	            1
       385	   60250000	    4.35	     16.59	     27.44	    71.54	      1.38	      18.20	     2.56	     5.41	          1.24	            1.00	            1
       386	   60265000	    4.37	     16.30	     28.10	    72.35	      1.26	      17.94	     2.65	     5.35	          1.23	            1.00	            1
       387	   60381000	    4.20	     17.24	     28.91	    69.99	      1.41	      18.45	     2.62	     5.54	          1.32	            0.97	            1
       388	   60432000	    4.31	     17.74	     30.10	    66.82	      1.29	      18.01	     2.47	     5.49	          1.27	            0.78	            1
       389	   60615000	    4.03	     18.04	     29.85	    69.47	      1.32	      18.56	     2.64	     5.61	          1.39	            0.94	            1
       390	   60635000	    4.42	     18.77	     31.00	    66.58	      1.26	      18.04	     2.68	     5.52	          1.25	            0.75	            1
       391	   60640000	    4.09	     18.06	     30.67	    66.54	      1.22	      18.05	     2.64	     5.50	          1.34	            0.77	            1
       392	   60642000	    4.16	     17.93	     30.47	    66.63	      1.26	      18.01	     2.68	     5.47	          1.31	            0.81	            1
       393	   60650000	    4.11	     18.02	     30.60	    66.57	      1.23	      18.04	     2.66	     5.49	          1.33	            0.77	            1
       394	   60653000	    4.31	     17.74	     30.10	    66.82	      1.29	      18.01	     2.47	     5.49	          1.27	            0.83	            1
       395	   60654000	    4.33	     17.81	     30.29	    66.89	      1.25	      18.06	     2.66	     5.49	          1.27	            0.84	            1
       396	   60665000	    4.25	     18.02	     30.61	    67.04	      1.13	      18.20	     2.71	     5.52	          1.30	            0.87	            1
       397	   60680000	    4.23	     17.94	     30.45	    67.41	      1.15	      18.22	     2.67	     5.51	          1.30	            0.87	            1
       398	   60715000	    4.05	     18.49	     30.88	    66.62	      1.22	      18.04	     2.65	     5.49	          1.35	            0.75	            1
       399	   60750000	    3.98	     18.84	     31.10	    66.97	      1.11	      17.94	     2.62	     5.47	          1.37	            0.73	            1
       400	   60765000	    3.93	     18.40	     30.77	    67.34	      1.13	      17.98	     2.63	     5.45	          1.39	            0.80	            1
       401	   60772000	    3.99	     18.31	     30.71	    67.42	      1.15	      18.04	     2.63	     5.46	          1.37	            0.81	            1
       402	   60774000	    4.18	     17.64	     30.45	    68.57	      0.99	      17.67	     2.55	     5.36	          1.28	            0.89	            1
