CABra dataset - Climate attributes
 
clim_p, clim_tmin, clim_tmax, clim_rh, clim_wind, and clim_srad are the long-term mean precipiation, minimum and maximum temperature, relative humidity, wind speed, and solar radiation in the catchment.
clim_et and clim_pet are the long-term mean actual and potential evapotranspiration in the catchment. clim_pet was calculated with Priestley & Taylor method.
aridity_index and p_seasonality are the aridity index and seasonality of precipitation in the catchment.
clim_quality is the quality of climate data based on data source: 1 = REF climatology; 2 = ENS climatology.
 
  CABra ID	     ANA ID	  clim_p	 clim_tmin	 clim_tmax	  clim_rh	 clim_wind	  clim_srad	  clim_et	 clim_pet	 aridity_index	   p_seasonality	 clim_quality
          	           	      mm	        °C	        °C	        %	     m s¯¹	     MJ m¯²	 mm day¯¹	 mm day¯¹	              	                	             
       495	   64685000	    4.62	     15.38	     26.51	    75.95	      1.23	      16.90	     2.75	     4.93	          1.07	            0.30	            1
       496	   64693000	    4.54	     15.58	     26.69	    75.52	      1.25	      17.01	     2.73	     4.96	          1.09	            0.32	            1
       497	   64715001	    4.31	     16.89	     28.07	    72.69	      1.53	      17.62	     2.68	     5.20	          1.21	            0.41	            1
       498	   64771500	    5.38	     14.85	     26.03	    76.98	      1.23	      16.71	     2.83	     4.88	          0.91	            0.20	            1
       499	   64773000	    5.45	     14.95	     26.15	    76.96	      1.19	      16.74	     2.76	     4.92	          0.90	            0.22	            1
       500	   64775000	    5.41	     15.37	     26.61	    76.48	      1.21	      16.97	     2.76	     4.95	          0.92	            0.22	            1
       501	   64785000	    4.98	     15.62	     26.99	    75.99	      1.22	      17.21	     2.61	     5.04	          1.01	            0.24	            1
       502	   64795000	    5.32	     15.19	     26.41	    76.55	      1.24	      16.90	     2.76	     4.93	          0.93	            0.21	            1
       503	   64799500	    5.26	     15.28	     26.51	    76.40	      1.25	      16.96	     2.73	     4.95	          0.94	            0.21	            1
       504	   64810000	    4.52	     15.84	     27.17	    75.11	      1.31	      17.42	     2.60	     5.09	          1.13	            0.25	            1
       505	   64815000	    4.43	     16.01	     27.29	    74.81	      1.35	      17.44	     2.60	     5.10	          1.15	            0.25	            1
       506	   64820000	    5.04	     15.48	     26.72	    75.97	      1.28	      17.09	     2.70	     4.99	          0.99	            0.22	            1
       507	   64830000	    4.99	     15.57	     26.81	    75.81	      1.30	      17.13	     2.68	     5.00	          1.00	            0.21	            1
       508	   64843000	    4.05	     17.09	     28.60	    70.96	      1.31	      17.68	     2.70	     5.26	          1.30	            0.80	            1
       509	   65010000	    4.56	     14.24	     23.95	    82.01	      1.34	      14.76	     2.76	     4.31	          0.95	            0.43	            1
       510	   65015400	    4.56	     14.24	     23.95	    82.01	      1.34	      14.76	     2.76	     4.31	          0.95	            0.38	            1
       511	   65025000	    4.20	     13.90	     23.79	    81.71	      1.34	      14.83	     2.68	     4.31	          1.03	            0.35	            1
       512	   65027000	    4.01	     13.72	     23.78	    81.29	      1.33	      14.96	     2.59	     4.34	          1.08	            0.32	            1
       513	   65094500	    4.54	     14.95	     24.75	    81.84	      1.41	      14.81	     2.73	     4.37	          0.96	            0.30	            1
       514	   65095000	    4.54	     14.95	     24.75	    81.84	      1.41	      14.81	     2.73	     4.37	          0.96	            0.30	            1
       515	   65135000	    5.06	     14.86	     24.35	    82.23	      1.37	      14.71	     2.76	     4.34	          0.86	            0.30	            1
       516	   65136550	    4.58	     14.61	     24.25	    82.05	      1.36	      14.75	     2.69	     4.33	          0.94	            0.27	            1
       517	   65220000	    4.39	     13.91	     24.15	    80.98	      1.36	      15.06	     2.65	     4.37	          0.99	            0.26	            1
       518	   65310000	    4.44	     13.77	     24.09	    80.60	      1.37	      15.17	     2.67	     4.39	          0.99	            0.24	            1
       519	   65365000	    4.73	     13.10	     23.82	    77.96	      1.44	      15.89	     2.83	     4.57	          0.96	            0.12	            1
       520	   65925000	    5.49	     13.88	     24.64	    76.06	      1.55	      16.34	     2.78	     4.75	          0.87	            0.11	            1
       521	   65945000	    5.60	     14.55	     25.42	    75.20	      1.75	      16.76	     2.63	     4.85	          0.87	            0.09	            1
       522	   65948000	    5.73	     14.63	     25.50	    74.83	      1.73	      16.73	     2.68	     4.89	          0.85	            0.10	            1
       523	   65960000	    5.55	     14.30	     25.15	    75.62	      1.61	      16.55	     2.70	     4.79	          0.86	            0.09	            1
       524	   65979000	    5.47	     15.40	     26.61	    75.51	      1.36	      17.04	     2.72	     4.98	          0.91	            0.17	            1
       525	   66260001	    4.38	     20.59	     32.48	    74.25	      0.91	      17.80	     2.84	     5.49	          1.26	            0.87	            1
       526	   67100000	    3.65	     20.54	     30.47	    70.35	      1.48	      17.91	     2.55	     5.45	          1.49	            0.84	            2
       527	   70100000	    4.50	     12.26	     21.98	    80.91	      1.67	      15.28	     2.70	     4.38	          0.97	            0.20	            1
       528	   70200000	    4.68	     11.76	     21.43	    80.71	      1.68	      15.38	     2.64	     4.34	          0.93	            0.18	            1
       529	   70300000	    4.49	     11.66	     21.18	    80.78	      1.66	      15.30	     2.80	     4.31	          0.96	            0.11	            1
       530	   70500000	    4.55	     11.84	     21.78	    79.77	      1.66	      15.47	     2.54	     4.35	          0.95	            0.09	            1
       531	   71200000	    4.50	     12.41	     22.04	    80.82	      1.63	      15.27	     2.80	     4.31	          0.96	            0.23	            1
       532	   71250000	    4.52	     12.75	     22.22	    80.95	      1.62	      15.24	     2.84	     4.32	          0.96	            0.18	            1
       533	   71300000	    4.51	     12.51	     22.06	    80.88	      1.61	      15.25	     2.84	     4.33	          0.96	            0.20	            1
       534	   71383000	    4.48	     12.66	     22.41	    80.55	      1.59	      15.31	     2.78	     4.35	          0.97	            0.18	            1
       535	   71498000	    4.66	     12.92	     23.12	    79.16	      1.54	      15.50	     2.79	     4.44	          0.95	            0.16	            1
       536	   71550000	    4.57	     12.74	     22.70	    79.82	      1.57	      15.42	     2.77	     4.39	          0.96	            0.16	            1
       537	   72430000	    5.01	     12.90	     23.16	    76.24	      1.88	      16.09	     2.51	     4.52	          0.90	            0.02	            1
       538	   72630000	    5.16	     13.36	     23.74	    75.50	      1.85	      16.33	     2.52	     4.62	          0.90	            0.03	            1
       539	   72680000	    5.17	     13.42	     23.83	    75.51	      1.83	      16.34	     2.54	     4.63	          0.90	            0.03	            1
       540	   72715000	    4.73	     12.96	     23.44	    77.83	      1.52	      15.78	     2.82	     4.53	          0.96	            0.18	            1
       541	   72810000	    4.77	     12.95	     23.40	    77.64	      1.54	      15.82	     2.81	     4.53	          0.95	            0.18	            1
       542	   72870000	    5.09	     12.85	     23.17	    76.39	      1.78	      16.12	     2.54	     4.55	          0.89	            0.12	            1
       543	   73300000	    5.54	     14.14	     24.67	    75.43	      1.73	      16.46	     2.79	     4.77	          0.86	            0.15	            1
       544	   73330000	    5.54	     14.14	     24.67	    75.43	      1.73	      16.46	     2.79	     4.77	          0.86	            0.10	            1
       545	   73350000	    5.51	     14.29	     24.79	    75.34	      1.73	      16.48	     2.73	     4.78	          0.87	            0.09	            1
       546	   73600000	    5.38	     13.74	     24.37	    75.91	      1.65	      16.31	     2.77	     4.74	          0.88	            0.16	            1
       547	   73690001	    5.38	     13.54	     24.06	    75.92	      1.69	      16.32	     2.85	     4.72	          0.88	            0.16	            1
       548	   73765000	    5.49	     14.57	     25.34	    74.91	      1.73	      16.64	     2.77	     4.80	          0.87	            0.11	            1
       549	   73770000	    5.41	     13.96	     24.56	    75.62	      1.69	      16.40	     2.77	     4.75	          0.88	            0.13	            1
       550	   73780000	    5.61	     14.53	     25.30	    74.91	      1.74	      16.62	     2.73	     4.81	          0.86	            0.12	            1
       551	   73820000	    5.61	     14.53	     25.30	    74.91	      1.74	      16.62	     2.73	     4.81	          0.86	            0.12	            1
       552	   73900000	    5.34	     14.75	     25.92	    74.78	      1.70	      16.64	     2.82	     4.82	          0.90	            0.12	            1
       553	   73960000	    5.43	     14.18	     24.87	    75.37	      1.71	      16.47	     2.77	     4.76	          0.88	            0.12	            1
       554	   74100000	    4.96	     13.06	     23.35	    77.43	      1.70	      15.97	     2.68	     4.54	          0.92	            0.10	            1
       555	   74205000	    5.20	     14.00	     24.66	    74.99	      1.75	      16.60	     2.51	     4.73	          0.91	            0.00	            1
       556	   74270000	    5.18	     14.14	     24.92	    74.83	      1.73	      16.59	     2.50	     4.74	          0.91	            0.02	            1
       557	   74295000	    5.42	     14.78	     26.00	    74.74	      1.70	      16.66	     2.83	     4.79	          0.88	            0.09	            1
       558	   74320000	    5.65	     14.64	     25.55	    74.78	      1.72	      16.70	     2.72	     4.85	          0.86	            0.11	            1
       559	   74370000	    5.15	     14.51	     25.48	    74.39	      1.69	      16.60	     2.60	     4.77	          0.93	            0.03	            1
       560	   74460000	    5.16	     14.40	     25.14	    74.30	      1.72	      16.62	     2.46	     4.77	          0.92	            0.04	            1
       561	   74470000	    5.16	     14.40	     25.14	    74.30	      1.72	      16.62	     2.46	     4.77	          0.92	            0.03	            1
       562	   74700000	    5.09	     14.62	     25.62	    73.76	      1.72	      16.60	     2.49	     4.76	          0.93	            0.04	            1
       563	   74750000	    5.07	     14.68	     25.72	    73.85	      1.66	      16.58	     2.53	     4.76	          0.94	            0.04	            1
       564	   74800000	    5.26	     13.78	     23.40	    76.39	      1.68	      16.38	     2.68	     4.64	          0.88	            0.08	            2
       565	   74880000	    5.12	     14.74	     25.73	    74.06	      1.75	      16.54	     2.44	     4.75	          0.93	            0.05	            1
       566	   74900000	    5.12	     14.74	     25.73	    74.06	      1.75	      16.54	     2.44	     4.75	          0.93	            0.05	            1
       567	   75550000	    5.25	     14.01	     23.67	    75.95	      1.72	      16.43	     2.64	     4.66	          0.89	            0.07	            2
       568	   76310000	    4.14	     13.62	     24.08	    74.62	      1.83	      16.24	     2.20	     4.55	          1.10	            0.01	            1
       569	   77150000	    5.04	     14.37	     24.04	    74.93	      1.87	      16.56	     2.52	     4.69	          0.93	            0.06	            2
       570	   81125000	    4.26	     13.34	     24.24	    80.74	      1.29	      15.19	     2.90	     4.41	          1.04	            0.45	            1
       571	   81140000	    4.04	     13.78	     24.13	    81.21	      1.29	      15.02	     2.83	     4.32	          1.07	            0.39	            1
       572	   81200000	    4.08	     13.83	     24.17	    81.11	      1.30	      15.03	     2.87	     4.35	          1.07	            0.42	            1
       573	   82009080	    5.93	     16.68	     25.13	    82.45	      1.35	      14.66	     3.03	     4.31	          0.73	            0.54	            1
       574	   82170000	    6.02	     15.51	     24.59	    82.33	      1.35	      14.70	     3.01	     4.25	          0.71	            0.43	            1
       575	   82320000	    4.87	     15.25	     24.94	    82.11	      1.45	      14.73	     2.82	     4.36	          0.89	            0.25	            1
       576	   82350000	    4.87	     15.25	     24.94	    82.11	      1.45	      14.73	     2.82	     4.36	          0.89	            0.34	            1
       577	   82770000	    5.90	     15.86	     25.14	    82.58	      1.44	      14.63	     2.73	     4.23	          0.72	            0.44	            1
       578	   83050000	    4.58	     13.58	     23.54	    80.22	      1.54	      15.30	     2.71	     4.37	          0.96	            0.26	            1
       579	   83105000	    4.53	     14.01	     23.33	    81.11	      1.61	      15.14	     2.78	     4.35	          0.96	            0.27	            1
       580	   83250000	    4.33	     14.01	     23.44	    81.03	      1.62	      15.14	     2.75	     4.31	          0.99	            0.20	            1
       581	   83300200	    4.43	     13.80	     23.58	    80.68	      1.58	      15.23	     2.65	     4.34	          0.98	            0.22	            1
       582	   83345000	    4.51	     14.22	     24.30	    80.45	      1.45	      15.17	     2.71	     4.37	          0.97	            0.21	            1
       583	   83440000	    4.43	     14.52	     24.49	    80.84	      1.49	      15.13	     2.71	     4.38	          0.99	            0.21	            1
       584	   83660000	    4.62	     15.42	     25.26	    81.71	      1.45	      14.90	     2.80	     4.39	          0.95	            0.27	            1
       585	   83675000	    5.00	     15.59	     25.34	    82.08	      1.44	      14.78	     2.79	     4.37	          0.87	            0.29	            1
       586	   83690000	    4.41	     14.25	     24.09	    80.86	      1.54	      15.17	     2.68	     4.36	          0.99	            0.22	            1
       587	   83800002	    4.49	     14.54	     24.37	    81.09	      1.53	      15.10	     2.68	     4.36	          0.97	            0.23	            1
       588	   83880000	    5.06	     15.91	     25.37	    82.36	      1.48	      14.71	     2.71	     4.27	          0.84	            0.33	            1
       589	   84071000	    4.65	     14.89	     24.02	    81.27	      1.60	      15.09	     2.72	     4.40	          0.95	            0.33	            1
       590	   84095000	    4.41	     15.34	     24.68	    81.36	      1.50	      15.02	     2.79	     4.39	          0.99	            0.27	            1
       591	   84100000	    4.82	     15.70	     24.43	    81.21	      1.60	      15.09	     2.77	     4.38	          0.91	            0.38	            1
       592	   84520000	    4.82	     14.26	     23.51	    81.11	      1.62	      15.16	     2.72	     4.34	          0.90	            0.38	            1
       593	   84551000	    4.58	     12.84	     22.49	    80.83	      1.65	      15.24	     2.73	     4.29	          0.94	            0.44	            1
       594	   84580000	    4.55	     13.60	     23.24	    80.98	      1.65	      15.20	     2.64	     4.29	          0.94	            0.39	            1
       595	   84600000	    4.72	     14.95	     24.01	    81.15	      1.69	      15.14	     2.86	     4.43	          0.94	            0.37	            1
       596	   84853000	    4.58	     13.76	     22.89	    81.04	      1.62	      15.37	     2.43	     4.26	          0.93	            0.34	            1
       597	   85400000	    5.02	     13.90	     24.34	    75.67	      1.78	      16.42	     2.43	     4.66	          0.93	           -0.01	            1
       598	   85438000	    4.82	     14.36	     24.77	    75.81	      1.71	      16.18	     2.50	     4.62	          0.96	           -0.03	            1
       599	   85480000	    4.23	     13.94	     24.30	    75.44	      1.78	      16.17	     2.28	     4.55	          1.07	           -0.04	            1
       600	   85900000	    4.70	     13.99	     24.25	    75.94	      1.74	      16.21	     2.36	     4.58	          0.97	           -0.04	            1
       601	   86100000	    4.59	     12.98	     22.21	    80.47	      1.68	      15.48	     2.68	     4.40	          0.96	            0.16	            1
       602	   86160000	    4.52	     12.40	     22.10	    80.08	      1.69	      15.55	     2.56	     4.36	          0.97	            0.13	            1
       603	   86410000	    4.83	     12.67	     22.69	    77.47	      1.70	      15.82	     2.47	     4.45	          0.92	            0.03	            1
       604	   86420000	    4.87	     13.06	     22.99	    76.68	      1.79	      15.96	     2.52	     4.50	          0.92	            0.04	            1
       605	   86480000	    4.97	     13.03	     23.23	    76.18	      1.87	      16.10	     2.51	     4.55	          0.92	            0.02	            1
       606	   86500000	    4.96	     13.08	     23.23	    76.26	      1.86	      16.10	     2.53	     4.54	          0.91	            0.02	            1
       607	   86510000	    4.75	     12.89	     22.67	    77.90	      1.72	      15.80	     2.59	     4.44	          0.94	            0.05	            1
       608	   86560000	    5.01	     13.41	     23.56	    75.91	      1.85	      16.24	     2.53	     4.58	          0.91	            0.01	            1
       609	   86580000	    5.01	     13.41	     23.56	    75.91	      1.85	      16.24	     2.53	     4.58	          0.91	            0.02	            1
       610	   86700000	    4.84	     13.62	     23.38	    76.28	      1.74	      16.08	     2.66	     4.52	          0.93	            0.02	            1
       611	   86745000	    5.03	     13.56	     23.65	    76.07	      1.81	      16.27	     2.56	     4.62	          0.92	            0.02	            1
       612	   87170000	    4.67	     13.49	     22.82	    78.11	      1.57	      15.73	     2.68	     4.45	          0.95	            0.05	            1
       613	   87380000	    4.35	     14.29	     23.31	    78.77	      1.58	      15.65	     2.68	     4.45	          1.02	            0.02	            1
       614	   87382000	    4.36	     14.30	     23.40	    78.54	      1.57	      15.66	     2.66	     4.44	          1.02	            0.02	            1
       615	   87450100	    3.94	     15.38	     24.94	    77.38	      1.52	      15.69	     2.53	     4.49	          1.14	           -0.07	            1
       616	   88575000	    4.08	     13.74	     23.64	    76.19	      1.94	      16.02	     2.36	     4.50	          1.10	           -0.00	            1
       617	   88750000	    4.20	     14.05	     23.42	    77.12	      1.86	      15.89	     2.34	     4.45	          1.06	           -0.01	            1
       618	   88850000	    4.29	     13.93	     23.35	    77.03	      1.85	      15.87	     2.30	     4.47	          1.04	            0.00	            1
       619	   12400000	    6.08	     21.32	     31.78	    82.79	      0.55	      14.81	     3.99	     4.66	          0.77	            0.37	            1
       620	   20200000	    4.49	     19.43	     31.43	    66.74	      1.23	      18.04	     2.66	     5.55	          1.23	            0.55	            1
       621	   21300000	    3.66	     18.76	     30.06	    65.11	      1.11	      18.46	     2.46	     5.61	          1.53	            0.86	            1
       622	   21560000	    3.56	     19.82	     30.97	    65.17	      1.08	      18.83	     2.55	     5.75	          1.61	            0.30	            1
       623	   22050001	    4.03	     18.97	     30.32	    66.48	      1.18	      18.44	     2.63	     5.59	          1.39	            0.57	            1
       624	   22500000	    4.14	     19.58	     31.06	    67.55	      1.12	      18.50	     2.66	     5.64	          1.36	            0.34	            1
       625	   25100000	    4.53	     20.17	     31.98	    66.90	      1.15	      18.04	     2.84	     5.58	          1.23	            0.43	            1
       626	   26040000	    4.55	     19.66	     32.11	    73.74	      0.82	      17.80	     2.66	     5.50	          1.21	            0.89	            1
       627	   31490000	    6.12	     22.61	     31.78	    81.90	      1.50	      18.40	     3.53	     5.67	          0.93	           -0.75	            1
       628	   31520000	    6.10	     22.58	     31.76	    81.91	      1.51	      18.39	     3.59	     5.67	          0.93	           -0.76	            1
       629	   31600000	    6.44	     22.32	     31.63	    82.34	      1.52	      18.33	     3.44	     5.64	          0.88	           -0.77	            1
       630	   32400000	    5.85	     22.61	     31.76	    81.62	      1.59	      18.41	     3.74	     5.68	          0.97	           -0.75	            1
       631	   33075000	    3.58	     22.15	     32.96	    74.00	      1.22	      18.37	     2.80	     5.71	          1.59	           -0.76	            1
       632	   34660000	    2.60	     21.03	     33.03	    65.24	      1.40	      19.81	     2.16	     6.11	          2.35	           -0.31	            1
       633	   40040000	    4.30	     15.90	     28.14	    72.72	      1.19	      17.79	     2.55	     5.24	          1.22	            1.00	            1
       634	   40053000	    3.90	     15.38	     28.56	    72.70	      1.08	      17.23	     2.63	     5.10	          1.31	            1.00	            1
       635	   40060001	    4.38	     16.05	     28.30	    72.46	      1.23	      17.81	     2.66	     5.30	          1.21	            1.00	            1
       636	   40150000	    4.04	     15.21	     28.08	    72.50	      1.13	      17.21	     2.66	     5.09	          1.26	            0.99	            1
       637	   40170000	    3.90	     15.19	     28.64	    72.59	      1.05	      17.33	     2.66	     5.13	          1.31	            1.00	            1
       638	   40185000	    3.96	     15.17	     28.52	    72.51	      1.08	      17.32	     2.66	     5.12	          1.29	            1.00	            1
       639	   40269900	    4.02	     15.16	     28.55	    71.49	      1.09	      17.50	     2.69	     5.19	          1.29	            1.00	            1
       640	   40300001	    4.02	     15.11	     28.59	    71.40	      1.09	      17.54	     2.64	     5.20	          1.29	            1.00	            1
       641	   40330000	    3.98	     15.16	     28.45	    72.18	      1.09	      17.36	     2.64	     5.13	          1.29	            1.00	            1
       642	   40500000	    3.84	     15.66	     29.34	    71.50	      1.05	      17.53	     2.54	     5.21	          1.36	            1.00	            1
       643	   40530000	    3.98	     16.25	     29.21	    71.63	      1.13	      17.76	     2.55	     5.28	          1.33	            1.00	            1
       644	   40680000	    4.05	     14.97	     26.54	    74.88	      1.23	      16.62	     2.58	     4.89	          1.21	            0.98	            1
       645	   40740000	    4.08	     15.32	     27.07	    73.79	      1.17	      16.93	     2.68	     5.00	          1.23	            0.98	            1
       646	   40800001	    4.08	     15.40	     27.41	    72.86	      1.15	      17.14	     2.68	     5.07	          1.24	            0.99	            1
       647	   40810350	    4.05	     15.24	     28.43	    71.21	      1.10	      17.53	     2.74	     5.22	          1.29	            1.00	            1
       648	   40810800	    4.08	     15.32	     28.31	    70.93	      1.11	      17.56	     2.79	     5.25	          1.29	            1.00	            1
       649	   40811100	    4.08	     15.32	     28.31	    70.93	      1.11	      17.56	     2.79	     5.25	          1.29	            1.00	            1
       650	   40823500	    4.04	     15.16	     28.49	    70.89	      1.10	      17.60	     2.68	     5.22	          1.29	            1.00	            1
       651	   40850000	    3.98	     15.46	     27.78	    72.11	      1.13	      17.32	     2.63	     5.13	          1.29	            0.99	            1
       652	   40930000	    4.25	     16.22	     28.58	    72.24	      1.20	      17.89	     2.64	     5.35	          1.26	            1.00	            1
       653	   40975000	    4.01	     16.58	     28.85	    70.91	      1.20	      18.14	     2.45	     5.43	          1.35	            1.00	            1
       654	   41050000	    4.02	     16.59	     28.53	    71.27	      1.26	      18.20	     2.54	     5.42	          1.35	            0.99	            1
       655	   41135000	    3.84	     16.12	     28.83	    71.34	      1.14	      17.82	     2.53	     5.30	          1.38	            1.00	            1
       656	   41199998	    4.23	     15.96	     27.40	    72.31	      1.14	      17.24	     2.85	     5.13	          1.21	            0.99	            1
       657	   41260000	    4.13	     16.16	     27.56	    71.64	      1.13	      17.40	     2.75	     5.17	          1.25	            0.99	            1
       658	   41380000	    3.70	     15.97	     28.11	    70.98	      1.13	      17.48	     2.52	     5.20	          1.41	            0.99	            1
       659	   41410000	    3.95	     16.19	     27.78	    71.25	      1.13	      17.48	     2.71	     5.20	          1.32	            0.99	            1
       660	   41440005	    3.57	     16.05	     28.49	    70.22	      1.12	      17.72	     2.48	     5.25	          1.47	            1.00	            1
       661	   41685000	    3.16	     16.30	     29.78	    70.86	      1.15	      17.74	     2.27	     5.28	          1.67	            1.00	            1
       662	   41780002	    3.64	     15.60	     27.66	    72.16	      1.17	      17.40	     2.56	     5.17	          1.42	            0.99	            1
       663	   41890000	    3.12	     15.69	     27.01	    72.43	      1.26	      18.15	     2.29	     5.33	          1.71	            0.99	            1
       664	   42187000	    2.81	     17.27	     29.69	    68.81	      1.31	      19.31	     2.24	     5.80	          2.06	            1.00	            1
       665	   42250000	    4.01	     17.52	     29.05	    69.20	      1.23	      18.40	     2.47	     5.51	          1.38	            0.98	            1
       666	   42257000	    3.87	     18.00	     29.73	    68.70	      1.20	      18.45	     2.51	     5.55	          1.44	            0.98	            1
       667	   42365000	    3.97	     17.14	     28.82	    70.00	      1.32	      18.54	     2.40	     5.53	          1.39	            0.98	            1
       668	   42435000	    3.69	     18.00	     30.33	    67.79	      1.21	      18.48	     2.39	     5.56	          1.50	            0.98	            1
       669	   42460000	    3.72	     17.15	     28.22	    67.08	      1.31	      18.19	     2.37	     5.43	          1.46	            0.95	            1
       670	   42490000	    3.71	     17.29	     28.68	    67.15	      1.31	      18.21	     2.37	     5.46	          1.47	            0.96	            1
       671	   42546000	    3.73	     17.77	     29.71	    66.64	      1.20	      18.33	     2.33	     5.53	          1.48	            0.96	            1
       672	   42840000	    3.71	     17.50	     29.23	    69.51	      1.29	      18.64	     2.32	     5.60	          1.51	            0.99	            1
       673	   42860000	    3.46	     17.84	     29.73	    69.10	      1.26	      18.84	     2.24	     5.67	          1.64	            0.99	            1
       674	   45170001	    2.98	     18.61	     30.98	    64.83	      1.27	      19.32	     2.10	     5.86	          1.97	            0.97	            1
       675	   45590000	    3.02	     19.12	     30.87	    64.82	      1.15	      19.22	     2.23	     5.86	          1.94	            0.88	            1
       676	   45740001	    2.94	     19.10	     31.26	    64.67	      1.16	      19.48	     2.36	     5.94	          2.02	            0.85	            1
       677	   45770000	    3.14	     19.17	     30.53	    64.72	      1.15	      19.04	     2.19	     5.81	          1.85	            0.90	            1
       678	   45880000	    2.95	     18.80	     30.92	    64.56	      1.26	      19.40	     2.16	     5.90	          2.00	            0.94	            1
       679	   46415000	    3.11	     19.36	     31.49	    64.94	      1.12	      19.40	     2.35	     5.94	          1.91	            0.75	            1
       680	   46455000	    3.42	     19.67	     31.66	    65.18	      1.09	      19.29	     2.35	     5.93	          1.74	            0.61	            1
       681	   46490000	    2.63	     19.17	     31.95	    63.91	      1.25	      19.95	     2.32	     6.10	          2.32	            0.76	            1
       682	   46543000	    3.39	     19.63	     31.79	    65.26	      1.10	      19.42	     2.33	     5.96	          1.76	            0.58	            1
       683	   46570000	    3.54	     19.65	     31.77	    65.53	      1.10	      19.44	     2.25	     5.97	          1.69	            0.43	            1
       684	   46590000	    3.09	     19.57	     32.01	    65.18	      1.14	      19.63	     2.27	     6.02	          1.95	            0.51	            1
       685	   46770000	    2.97	     19.94	     32.56	    66.73	      1.06	      19.70	     2.27	     6.08	          2.05	            0.24	            1
       686	   46998000	    3.01	     18.17	     30.55	    66.57	      1.29	      19.11	     2.26	     5.77	          1.92	            0.98	            1
       687	   47249000	    1.64	     18.80	     30.72	    63.17	      1.93	      19.94	     1.66	     6.04	          3.69	            0.97	            1
       688	   48850000	    1.91	     19.58	     30.11	    67.08	      2.51	      20.59	     1.67	     6.21	          3.25	            0.38	            1
       689	   53790000	    2.24	     18.05	     29.02	    68.89	      1.48	      18.46	     1.97	     5.57	          2.49	            0.91	            1
       690	   58442000	    4.99	     16.30	     26.74	    79.07	      1.25	      15.98	     3.13	     4.76	          0.95	            0.85	            1
       691	   58826000	    6.10	     16.68	     26.99	    78.90	      1.23	      16.11	     3.24	     4.88	          0.80	            0.80	            1
       692	   58846000	    5.08	     16.61	     27.11	    78.84	      1.25	      16.20	     2.95	     4.86	          0.96	            0.80	            1
       693	   58857000	    4.19	     16.41	     26.98	    79.00	      1.22	      16.13	     2.80	     4.80	          1.15	            0.89	            1
       694	   58880001	    4.07	     15.64	     26.44	    78.24	      1.21	      16.02	     2.75	     4.72	          1.16	            0.89	            1
       695	   60030000	    3.92	     17.46	     29.20	    68.22	      1.32	      18.27	     2.45	     5.50	          1.40	            0.96	            1
       696	   60435100	    4.09	     16.68	     27.12	    67.21	      1.41	      18.02	     2.53	     5.40	          1.32	            0.85	            1
       697	   60477400	    3.88	     16.64	     26.93	    67.15	      1.38	      18.04	     2.49	     5.35	          1.38	            0.89	            1
       698	   60477600	    3.91	     16.43	     26.95	    67.21	      1.40	      18.04	     2.53	     5.34	          1.37	            0.89	            1
       699	   60478500	    3.95	     16.22	     26.96	    67.27	      1.41	      18.04	     2.57	     5.34	          1.35	            0.91	            1
       700	   60478600	    3.95	     16.22	     26.96	    67.27	      1.41	      18.04	     2.57	     5.34	          1.35	            0.94	            1
       701	   60500000	    3.93	     16.58	     27.54	    67.34	      1.40	      18.08	     2.50	     5.37	          1.37	            0.93	            1
       702	   60540000	    4.28	     17.30	     29.19	    67.44	      1.25	      18.12	     2.55	     5.45	          1.27	            0.92	            1
       703	   61175000	    3.85	     14.28	     27.10	    76.10	      1.04	      16.55	     2.55	     4.85	          1.26	            1.00	            1
       704	   61565000	    4.29	     13.27	     26.01	    76.94	      0.91	      16.08	     2.70	     4.72	          1.10	            0.94	            1
       705	   61795000	    4.26	     17.14	     29.21	    70.22	      1.44	      18.41	     2.66	     5.49	          1.29	            0.95	            1
       706	   61910000	    4.17	     14.67	     26.38	    74.44	      1.13	      16.46	     2.70	     4.80	          1.15	            0.89	            1
       707	   61956001	    3.81	     18.04	     29.39	    69.20	      1.47	      17.98	     2.65	     5.40	          1.42	            0.94	            1
       708	   62095100	    4.51	     14.85	     25.43	    76.64	      1.26	      15.57	     3.45	     4.59	          1.02	            0.70	            1
       709	   62110000	    4.96	     15.25	     25.55	    76.32	      1.25	      15.52	     3.25	     4.58	          0.92	            0.70	            1
       710	   62496001	    3.62	     15.99	     26.78	    75.12	      1.56	      15.79	     2.59	     4.66	          1.29	            0.68	            1
       711	   62676000	    4.23	     14.50	     24.94	    76.45	      1.22	      15.50	     2.83	     4.54	          1.07	            0.78	            1
       712	   62772500	    4.07	     16.16	     27.28	    71.37	      1.45	      17.46	     2.60	     5.13	          1.26	            0.91	            1
       713	   63160000	    3.70	     17.57	     28.72	    68.86	      1.53	      18.04	     2.62	     5.36	          1.45	            0.84	            1
       714	   64346000	    3.81	     17.62	     28.72	    68.79	      1.25	      17.81	     2.64	     5.29	          1.39	            0.68	            1
       715	   64370000	    3.99	     14.96	     26.03	    76.02	      1.21	      16.39	     2.68	     4.77	          1.20	            0.49	            1
       716	   64491000	    4.34	     13.56	     24.71	    79.33	      1.18	      15.68	     2.73	     4.53	          1.04	            0.31	            1
