CABra dataset - Additional attributes
 
longitude_centroid and latitude_centroid are the XY coordinates of the catchment centroid.
dist_coast is the distance to the nearest coast.
 
  CABra ID	     ANA ID	   longitude_centroid	    latitude_centroid	 dist_coast
          	           	                   dd	                   dd	         km
       123	   34020000	              -45.913	               -9.735	     662.00
       124	   34060000	              -45.843	               -9.064	     479.94
       125	   34090000	              -44.862	               -8.483	     458.02
       126	   34130000	              -46.487	               -8.505	     493.18
       127	   34170000	              -46.060	               -7.721	     422.92
       128	   34251000	              -44.588	               -9.869	     618.05
       129	   34270000	              -44.342	               -9.342	     459.09
       130	   34770000	              -41.238	               -5.549	     318.56
       131	   34940000	              -42.179	               -4.575	     120.81
       132	   34980000	              -41.865	               -4.293	     100.05
       133	   35260000	              -39.966	               -4.339	     123.41
       134	   36045000	              -40.291	               -6.861	     348.30
       135	   36160000	              -40.090	               -6.550	     274.62
       136	   36250000	              -39.065	               -7.492	     339.23
       137	   36290000	              -39.065	               -7.123	     249.23
       138	   36390000	              -39.434	               -6.503	      95.33
       139	   36580000	              -39.481	               -5.257	     107.26
       140	   37380000	              -38.050	               -7.378	     249.66
       141	   37410000	              -38.155	               -7.134	     219.28
       142	   37470000	              -37.950	               -7.035	     165.07
       143	   37515000	              -36.535	               -6.802	     171.59
       144	   38170000	              -35.946	               -5.652	      21.02
       145	   38485000	              -35.900	               -6.242	      22.56
       146	   38650000	              -35.942	               -6.786	      61.63
       147	   38830000	              -36.904	               -7.867	     174.94
       148	   38850000	              -36.766	               -7.287	     167.16
       149	   38860000	              -36.621	               -7.526	     118.14
       150	   38895000	              -36.353	               -7.496	      14.73
       151	   39084010	              -35.501	               -7.777	      36.01
       152	   39185000	              -35.903	               -8.015	      17.74
       153	   39360000	              -36.265	               -8.318	      46.48
       154	   39540000	              -36.292	               -8.563	      93.98
       155	   39560000	              -36.091	               -8.600	      51.56
       156	   39770000	              -36.234	               -9.022	      15.18
       157	   39980000	              -36.547	               -9.639	      22.91
       158	   40070000	              -45.981	              -20.140	     371.13
       159	   40100000	              -45.864	              -19.973	     418.60
       160	   41650002	              -43.976	              -19.511	     436.71
       161	   41818000	              -43.955	              -19.246	     459.80
       162	   41990000	              -44.106	              -18.825	     538.21
       163	   42210000	              -44.798	              -18.885	     603.76
       164	   42395000	              -46.648	              -17.803	     669.45
       165	   42690001	              -46.718	              -17.090	     681.37
       166	   42980000	              -46.452	              -17.192	     626.71
       167	   43200000	              -45.254	              -18.352	     613.40
       168	   43429998	              -46.414	              -15.423	     736.89
       169	   43670000	              -46.297	              -15.622	     689.68
       170	   43880000	              -46.195	              -15.787	     651.93
       171	   44200000	              -45.371	              -17.950	     614.99
       172	   44250000	              -44.965	              -15.237	     618.73
       173	   44290002	              -45.346	              -17.826	     579.68
       174	   44500000	              -45.299	              -17.718	     523.86
       175	   44540000	              -44.332	              -14.741	     541.26
       176	   44670000	              -43.756	              -16.166	     500.39
       177	   45210000	              -45.249	              -14.662	     571.75
       178	   45260000	              -45.113	              -14.656	     543.84
       179	   45298000	              -45.040	              -17.213	     502.45
